 python scratch/run_v300_chunkwise_kaggle_standalone.py
=====================================================================================
EXPERIMENT BENCHMARK RUN: V300 STANDALONE CHUNKWISE PARALLEL CAPACITY SCALING
=====================================================================================
  * Exp ID:          v300_capacity_scaling_chunkwise_standalone
  * Hardware Device: CPU
  * PyTorch Version: 2.10.0+cpu
  * CUDA Available:  False (Version: N/A)
  * Seed:            42
  * Chunk Size C:    64
  * Layers:          3
  * Effective Batch: 32
  * Epochs / Steps:  20 epochs, 50 steps/epoch
  * LR Grid:         [0.002, 0.004, 0.008]
  * Sweeps d_k:      [32, 64, 128]
  * KV Pairs Sweep:  [32, 64, 128, 256]
  * ISO-FLOATS MAP:
      d_k= 32 -> Complex d_k= 32 ( 2048 floats/head) | Real d_k= 45 ( 2025 floats/head)
      d_k= 64 -> Complex d_k= 64 ( 8192 floats/head) | Real d_k= 90 ( 8100 floats/head)
      d_k=128 -> Complex d_k=128 (32768 floats/head) | Real d_k=181 (32761 floats/head)
=====================================================================================

=== SWEEP d_k = 32 (d_model = 64) ===

  >>> Pre-generating GPU Datasets for Load: 32 Pairs (L=256) <<<
      [ChunkwiseComplexDeltaPhase             | lr=0.0080] Epoch 11/20 Complete | Loss = 0.0071
      [ChunkwiseComplexDeltaPhase             | lr=0.0080] Epoch 12/20 Complete | Loss = 0.0042
      [ChunkwiseComplexDeltaPhase             | lr=0.0080] Epoch 13/20 Complete | Loss = 0.0057
      [ChunkwiseComplexDeltaPhase             | lr=0.0080] Epoch 14/20 Complete | Loss = 0.0129
      [ChunkwiseComplexDeltaPhase             | lr=0.0080] Epoch 15/20 Complete | Loss = 0.0154
      [ChunkwiseComplexDeltaPhase             | lr=0.0080] Epoch 16/20 Complete | Loss = 0.0177
      [ChunkwiseComplexDeltaPhase             | lr=0.0080] Epoch 17/20 Complete | Loss = 0.0105
      [ChunkwiseComplexDeltaPhase             | lr=0.0080] Epoch 18/20 Complete | Loss = 0.0144
      [ChunkwiseComplexDeltaPhase             | lr=0.0080] Epoch 19/20 Complete | Loss = 0.0083
      [ChunkwiseComplexDeltaPhase             | lr=0.0080] Epoch 20/20 Complete | Loss = 0.0161
      [ChunkwiseComplexDeltaPhase             | d_k=32] Pairs= 32 (L= 256) -> Best Acc:  99.66% (lr=0.004)
      [ChunkwiseRealDeltaNetSquare            | lr=0.0020] Epoch  1/20 Complete | Loss = 5.6204
      [ChunkwiseRealDeltaNetSquare            | lr=0.0020] Epoch  2/20 Complete | Loss = 5.5400
      [ChunkwiseRealDeltaNetSquare            | lr=0.0020] Epoch  3/20 Complete | Loss = 5.4485
      [ChunkwiseRealDeltaNetSquare            | lr=0.0020] Epoch  4/20 Complete | Loss = 5.3035
      [ChunkwiseRealDeltaNetSquare            | lr=0.0020] Epoch  5/20 Complete | Loss = 5.1615
      [ChunkwiseRealDeltaNetSquare            | lr=0.0020] Epoch  6/20 Complete | Loss = 5.0267
      [ChunkwiseRealDeltaNetSquare            | lr=0.0020] Epoch  7/20 Complete | Loss = 4.9120
      [ChunkwiseRealDeltaNetSquare            | lr=0.0020] Epoch  8/20 Complete | Loss = 4.8157
      [ChunkwiseRealDeltaNetSquare            | lr=0.0020] Epoch  9/20 Complete | Loss = 4.7135
      [ChunkwiseRealDeltaNetSquare            | lr=0.0020] Epoch 10/20 Complete | Loss = 4.6044
      [ChunkwiseRealDeltaNetSquare            | lr=0.0020] Epoch 11/20 Complete | Loss = 4.4879
      [ChunkwiseRealDeltaNetSquare            | lr=0.0020] Epoch 12/20 Complete | Loss = 4.3743
      [ChunkwiseRealDeltaNetSquare            | lr=0.0020] Epoch 13/20 Complete | Loss = 4.2794
      [ChunkwiseRealDeltaNetSquare            | lr=0.0020] Epoch 14/20 Complete | Loss = 4.1841
      [ChunkwiseRealDeltaNetSquare            | lr=0.0020] Epoch 15/20 Complete | Loss = 4.0720
      [ChunkwiseRealDeltaNetSquare            | lr=0.0020] Epoch 16/20 Complete | Loss = 3.9540
      [ChunkwiseRealDeltaNetSquare            | lr=0.0020] Epoch 17/20 Complete | Loss = 3.8504
      [ChunkwiseRealDeltaNetSquare            | lr=0.0020] Epoch 18/20 Complete | Loss = 3.7760
      [ChunkwiseRealDeltaNetSquare            | lr=0.0020] Epoch 19/20 Complete | Loss = 3.6893
      [ChunkwiseRealDeltaNetSquare            | lr=0.0020] Epoch 20/20 Complete | Loss = 3.5851
      [ChunkwiseRealDeltaNetSquare            | lr=0.0040] Epoch  1/20 Complete | Loss = 5.5966
      [ChunkwiseRealDeltaNetSquare            | lr=0.0040] Epoch  2/20 Complete | Loss = 5.4975
      [ChunkwiseRealDeltaNetSquare            | lr=0.0040] Epoch  3/20 Complete | Loss = 5.3001
      [ChunkwiseRealDeltaNetSquare            | lr=0.0040] Epoch  4/20 Complete | Loss = 5.1074
      [ChunkwiseRealDeltaNetSquare            | lr=0.0040] Epoch  5/20 Complete | Loss = 4.9360
      [ChunkwiseRealDeltaNetSquare            | lr=0.0040] Epoch  6/20 Complete | Loss = 4.7911
      [ChunkwiseRealDeltaNetSquare            | lr=0.0040] Epoch  7/20 Complete | Loss = 4.6606
      [ChunkwiseRealDeltaNetSquare            | lr=0.0040] Epoch  8/20 Complete | Loss = 4.4452
      [ChunkwiseRealDeltaNetSquare            | lr=0.0040] Epoch  9/20 Complete | Loss = 3.9667
      [ChunkwiseRealDeltaNetSquare            | lr=0.0040] Epoch 10/20 Complete | Loss = 2.5822
      [ChunkwiseRealDeltaNetSquare            | lr=0.0040] Epoch 11/20 Complete | Loss = 1.1137
      [ChunkwiseRealDeltaNetSquare            | lr=0.0040] Epoch 12/20 Complete | Loss = 0.4838
      [ChunkwiseRealDeltaNetSquare            | lr=0.0040] Epoch 13/20 Complete | Loss = 0.2135
      [ChunkwiseRealDeltaNetSquare            | lr=0.0040] Epoch 14/20 Complete | Loss = 0.1511
      [ChunkwiseRealDeltaNetSquare            | lr=0.0040] Epoch 15/20 Complete | Loss = 0.1002
      [ChunkwiseRealDeltaNetSquare            | lr=0.0040] Epoch 16/20 Complete | Loss = 0.0594
      [ChunkwiseRealDeltaNetSquare            | lr=0.0040] Epoch 17/20 Complete | Loss = 0.0330
      [ChunkwiseRealDeltaNetSquare            | lr=0.0040] Epoch 18/20 Complete | Loss = 0.0272
      [ChunkwiseRealDeltaNetSquare            | lr=0.0040] Epoch 19/20 Complete | Loss = 0.0186
      [ChunkwiseRealDeltaNetSquare            | lr=0.0040] Epoch 20/20 Complete | Loss = 0.0068
      [ChunkwiseRealDeltaNetSquare            | lr=0.0080] Epoch  1/20 Complete | Loss = 5.5930
      [ChunkwiseRealDeltaNetSquare            | lr=0.0080] Epoch  2/20 Complete | Loss = 5.4878
      [ChunkwiseRealDeltaNetSquare            | lr=0.0080] Epoch  3/20 Complete | Loss = 5.2646
      [ChunkwiseRealDeltaNetSquare            | lr=0.0080] Epoch  4/20 Complete | Loss = 5.0856
      [ChunkwiseRealDeltaNetSquare            | lr=0.0080] Epoch  5/20 Complete | Loss = 4.8845
      [ChunkwiseRealDeltaNetSquare            | lr=0.0080] Epoch  6/20 Complete | Loss = 4.7682
      [ChunkwiseRealDeltaNetSquare            | lr=0.0080] Epoch  7/20 Complete | Loss = 4.6482
      [ChunkwiseRealDeltaNetSquare            | lr=0.0080] Epoch  8/20 Complete | Loss = 4.5406
      [ChunkwiseRealDeltaNetSquare            | lr=0.0080] Epoch  9/20 Complete | Loss = 4.4291
      [ChunkwiseRealDeltaNetSquare            | lr=0.0080] Epoch 10/20 Complete | Loss = 3.8450
      [ChunkwiseRealDeltaNetSquare            | lr=0.0080] Epoch 11/20 Complete | Loss = 2.1718
      [ChunkwiseRealDeltaNetSquare            | lr=0.0080] Epoch 12/20 Complete | Loss = 0.6967
      [ChunkwiseRealDeltaNetSquare            | lr=0.0080] Epoch 13/20 Complete | Loss = 0.2400
      [ChunkwiseRealDeltaNetSquare            | lr=0.0080] Epoch 14/20 Complete | Loss = 0.1566
      [ChunkwiseRealDeltaNetSquare            | lr=0.0080] Epoch 15/20 Complete | Loss = 0.0727
      [ChunkwiseRealDeltaNetSquare            | lr=0.0080] Epoch 16/20 Complete | Loss = 0.0665
      [ChunkwiseRealDeltaNetSquare            | lr=0.0080] Epoch 17/20 Complete | Loss = 0.0457
      [ChunkwiseRealDeltaNetSquare            | lr=0.0080] Epoch 18/20 Complete | Loss = 0.0189
      [ChunkwiseRealDeltaNetSquare            | lr=0.0080] Epoch 19/20 Complete | Loss = 0.0158
      [ChunkwiseRealDeltaNetSquare            | lr=0.0080] Epoch 20/20 Complete | Loss = 0.0306
      [ChunkwiseRealDeltaNetSquare            | d_k=32] Pairs= 32 (L= 256) -> Best Acc:  94.82% (lr=0.008)
      [ChunkwiseRealDeltaNetRectangular       | lr=0.0020] Epoch  1/20 Complete | Loss = 5.6156
      [ChunkwiseRealDeltaNetRectangular       | lr=0.0020] Epoch  2/20 Complete | Loss = 5.5465
      [ChunkwiseRealDeltaNetRectangular       | lr=0.0020] Epoch  3/20 Complete | Loss = 5.4755
      [ChunkwiseRealDeltaNetRectangular       | lr=0.0020] Epoch  4/20 Complete | Loss = 5.3534
      [ChunkwiseRealDeltaNetRectangular       | lr=0.0020] Epoch  5/20 Complete | Loss = 5.1802
      [ChunkwiseRealDeltaNetRectangular       | lr=0.0020] Epoch  6/20 Complete | Loss = 5.0603
      [ChunkwiseRealDeltaNetRectangular       | lr=0.0020] Epoch  7/20 Complete | Loss = 4.9228
      [ChunkwiseRealDeltaNetRectangular       | lr=0.0020] Epoch  8/20 Complete | Loss = 4.8464
      [ChunkwiseRealDeltaNetRectangular       | lr=0.0020] Epoch  9/20 Complete | Loss = 4.7518
      [ChunkwiseRealDeltaNetRectangular       | lr=0.0020] Epoch 10/20 Complete | Loss = 4.6758
      [ChunkwiseRealDeltaNetRectangular       | lr=0.0020] Epoch 11/20 Complete | Loss = 4.5641
      [ChunkwiseRealDeltaNetRectangular       | lr=0.0020] Epoch 12/20 Complete | Loss = 4.4434
      [ChunkwiseRealDeltaNetRectangular       | lr=0.0020] Epoch 13/20 Complete | Loss = 4.3178
      [ChunkwiseRealDeltaNetRectangular       | lr=0.0020] Epoch 14/20 Complete | Loss = 4.1952
      [ChunkwiseRealDeltaNetRectangular       | lr=0.0020] Epoch 15/20 Complete | Loss = 4.0906
      [ChunkwiseRealDeltaNetRectangular       | lr=0.0020] Epoch 16/20 Complete | Loss = 3.9945
      [ChunkwiseRealDeltaNetRectangular       | lr=0.0020] Epoch 17/20 Complete | Loss = 3.9112
      [ChunkwiseRealDeltaNetRectangular       | lr=0.0020] Epoch 18/20 Complete | Loss = 3.8005
      [ChunkwiseRealDeltaNetRectangular       | lr=0.0020] Epoch 19/20 Complete | Loss = 3.6434
      [ChunkwiseRealDeltaNetRectangular       | lr=0.0020] Epoch 20/20 Complete | Loss = 3.4644
      [ChunkwiseRealDeltaNetRectangular       | lr=0.0040] Epoch  1/20 Complete | Loss = 5.5935
      [ChunkwiseRealDeltaNetRectangular       | lr=0.0040] Epoch  2/20 Complete | Loss = 5.4993
      [ChunkwiseRealDeltaNetRectangular       | lr=0.0040] Epoch  3/20 Complete | Loss = 5.3155
      [ChunkwiseRealDeltaNetRectangular       | lr=0.0040] Epoch  4/20 Complete | Loss = 5.0840
      [ChunkwiseRealDeltaNetRectangular       | lr=0.0040] Epoch  5/20 Complete | Loss = 4.9161
      [ChunkwiseRealDeltaNetRectangular       | lr=0.0040] Epoch  6/20 Complete | Loss = 4.7314
      [ChunkwiseRealDeltaNetRectangular       | lr=0.0040] Epoch  7/20 Complete | Loss = 4.6170
      [ChunkwiseRealDeltaNetRectangular       | lr=0.0040] Epoch  8/20 Complete | Loss = 4.4638
      [ChunkwiseRealDeltaNetRectangular       | lr=0.0040] Epoch  9/20 Complete | Loss = 4.3570
      [ChunkwiseRealDeltaNetRectangular       | lr=0.0040] Epoch 10/20 Complete | Loss = 4.2936
      [ChunkwiseRealDeltaNetRectangular       | lr=0.0040] Epoch 11/20 Complete | Loss = 4.1473
      [ChunkwiseRealDeltaNetRectangular       | lr=0.0040] Epoch 12/20 Complete | Loss = 4.1044
